,meanRR,minRR,maxRR,sdRR,modeRR,nBB,meanBB,SDSDb,CVNNb,SDNNb,RMSSDb,medianBB,q20BB,q80BB,minBB,maxBB,meanTT,SDTT,medianTT,q20TT,q80TT,minTT,maxTT,meanBA,SDBA,medianBA,q20BA,q80BA,minBA,maxBA,meanBW,SDBW,medianBW,q20BW,q80BW,minBW,maxBW,max_rsp,min_rsp,mean_rsp,sd_rsp,ku_rsp,sk_rsp,median_rsp,q1_rsp,q3_rsp,q05_rsp,q95_rsp,totalpower_rsp,LF_rsp,HF_rsp,VLF_rsp,VHF_rsp,LF/HF_rsp,rLF_rsp,rHF_rsp,peakLF_rsp,peakHF_rsp,SD1_rrv,SD2_rrv,SD1SD2_rrv,apEn_rrv
2ea4_Video1,15.010059580633856,8.134490238611713,19.64636542239686,3.535107914185725,11.511875183785145,13.793103448275863,4261.3,1605.5726541225124,1144.4737262165522,0.2685738451215714,1605.6640131350402,3844.0,3225.6000000000004,5428.8,3054.0,7376.0,2104.4102564102564,572.9202172025539,1834.0,1629.0,2768.4000000000005,1502.0,3216.0,1.6828063666094748,0.5171096325741692,1.4928248788527827,1.3383823771874734,1.9615842704237842,1.1012715655181555,4.077791426321863,43981.049382716046,23774.842576312163,44428.0,20973.0,67974.0,384.0,85610.0,3.2613392434196586,-2.795355578856508,-1.0943991562282003e-17,0.6738204761507358,2.42809743153395,0.25770363684672914,-0.038877061364934594,-0.4235916398402981,0.4235865974856448,-1.0183032582180636,1.0708538790872175,109420.8284531388,70915.58431453438,38502.51692260266,0.0,2.7272160017626708,1.8418428191873304,64.81156546560989,35.188434534390105,0.1171875,0.1640625,567.6556557088559,565.4343724834906,1.0039284545359508,0.038429452456588464
2ea4_Video2,16.77001801726662,9.668063164679342,19.595035924232526,2.9166418671513816,9.926972759553184,15.254237288135593,3736.8,1425.3648150995107,925.6360119759098,0.24770820273386582,1425.470763134665,3340.0,3200.3999999999996,3836.4,3062.0,6206.0,1865.1290322580646,482.41434084602224,1716.0,1593.0,1832.0,1512.0,3370.0,1.8653840463665816,0.2323678089711562,1.7992912939548575,1.6800810765477454,2.0494774772202633,1.4334602894881265,2.4275310422616156,29347.74603174603,16743.32311174783,28853.0,12735.2,45886.0,137.0,57956.0,1.5006228394091874,-1.8296807392779015,-1.9268955546036616e-17,0.6743733296576461,-0.9046115519819069,-0.0545331963140705,-0.0005734341502974276,-0.5845381587425957,0.5912011124414649,-0.9684498519434159,1.0020374998643393,221692.50270143614,143486.175419299,78204.63915180345,0.0,1.6881303337005462,1.8347527330287554,64.72355460324178,35.27644539675821,0.09375,0.1640625,503.9425632107867,433.1125355954189,1.1635372375403419,0.06292457617171499
2hpu_Baseline,12.487718952381964,8.377548170901983,17.615971814445096,3.187044435102892,9.238423643543113,11.0,5134.363636363636,1970.4166462959047,1306.9110891875248,0.2545419806130312,1970.9818872835945,5088.0,3878.0,6426.0,3406.0,7162.0,2556.3636363636365,747.8196516573756,2375.0,2189.0,2803.0,1562.0,4370.0,1.288155778410214,0.22068793695660924,1.3601436663854503,1.075343253730445,1.4829429399929204,0.8762561689404478,1.6213995843843516,13994.0,9091.768511498007,13793.0,5112.200000000001,22912.200000000004,223.0,29220.0,0.9614989332602109,-0.96688744911414,-9.473903143468003e-19,0.4628914159961145,-0.869235703732345,-0.025994957372418404,0.02061922708256874,-0.36612504291036146,0.33994865834978305,-0.7615715539572189,0.7614721397964517,133769.349394653,105661.56458418006,28107.052305269524,0.0,0.7325052033917638,3.7592545613319466,78.98830610733005,21.011693892669935,0.07792207792207793,0.15584415584415587,696.6474861793445,573.1796576990498,1.215408601512376,0.09531017980432521
2hpu_Breathing,7.636997758182994,4.819277108433735,14.077897700610043,1.9207745955266182,9.258620592176307,7.0,8277.333333333334,2290.524123426776,1789.1251741811943,0.2161475323189265,2290.9428626659374,7958.0,7070.0,9646.0,4262.0,12450.0,3778.1739130434785,1000.6707599176931,4043.0,2778.8,4790.0,1899.0,5167.0,1.6635214483224994,0.30726546599921595,1.6038972737096757,1.3533415929062544,1.9418806065509209,1.1855998556916592,2.1663004385439946,45927.47826086957,26606.32149283253,47170.0,18595.0,73125.0,115.0,88244.0,1.2902545642389314,-1.4904083193985302,-3.1579677144893343e-18,0.6069754157841799,-0.6124499398550003,-0.2357352141116421,0.03134441833492589,-0.39911004393819394,0.43307820256784746,-1.0833530605433053,0.9669297972553421,177730.54591684596,175481.99451249625,2248.3735429984667,0.0,0.1778613512294818,78.04841640258347,98.73495251959618,1.2650474804038172,0.0703125,0.1640625,809.8225700732229,1009.6753834772837,0.8020623096546384,0.07209491047353422
2hpu_Counting1,13.127276699963481,7.080481472740146,19.342359767891683,3.6241967077354618,12.261878295151536,11.0,4977.454545454545,2551.503564567371,1537.4136702229591,0.3088754816710358,2564.373997684425,4226.0,3668.0,6234.0,3102.0,8474.0,2904.8,719.2848948782395,3186.0,2105.0,3533.0,1546.0,3557.0,1.6700282566497304,0.41024258551674003,1.5117462725987845,1.3762229569318942,2.091645747666405,1.0725479537752944,2.3690337508210235,14516.95652173913,8926.00075732961,14403.0,5875.800000000001,23256.800000000003,308.0,29356.0,1.4853170030557774,-2.415653700119229,-7.389644451905042e-17,0.6685350310787076,0.9744049468139382,-0.5536227577024958,0.008938784090944375,-0.3646259541414289,0.4632319171389624,-1.1570085048152312,1.09792695875279,446787.1054100195,294299.48802947777,152476.7505441765,0.0,10.866836365280284,1.930126966761477,65.87178605761068,34.12821394238933,0.08108108108108109,0.16216216216216217,902.092736363618,629.013310669973,1.4341393434151393,0.09531017980432521
2hpu_Counting2,13.870811643930397,7.991475759190197,18.484288354898336,3.876031788365237,10.492812595708138,12.0,4732.5,2810.364383303729,1478.7652788728844,0.3124702121231663,2811.6140301516234,3925.0,3356.8,6269.6,3246.0,7508.0,2206.5,643.1525868718869,1856.0,1655.2,2985.2,1570.0,3296.0,1.762633523634761,0.3749722099015926,1.8145864787218136,1.4166057456496106,2.0694013850904924,1.2342956059592554,2.3815343028548677,15388.961538461539,8746.953700402344,15940.0,6844.0,23964.0,1006.0,29401.0,1.5029610433323126,-1.4955111490273463,2.2737367544323207e-17,0.6283877726966386,-0.2915440006355672,-0.0002269242399331658,0.007762653881045861,-0.3763593373029448,0.38655889928849074,-1.1134338265437929,1.08093213095351,243929.0762955602,21175.751195582423,222746.30300698182,0.0,7.022092995951383,0.09506667859227583,8.681359815868513,91.3186401841315,0.11842105263157895,0.1973684210526316,993.6138565196081,377.91041397629607,2.6292312139933016,0.08701137698962969
2hpu_Counting3,11.748911489195521,7.83289817232376,19.18158567774936,3.389346631305164,11.348687505425602,10.0,5504.2,1749.897464368261,1427.1662692202335,0.2592867754115464,1750.4394368906974,5556.0,4163.2,6777.6,3128.0,7660.0,2753.7,705.3526848322051,2812.0,1884.6000000000001,3403.7999999999997,1665.0,3822.0,1.4071951560721139,0.24604070068755218,1.3521391936919958,1.2226447601056452,1.626497696212053,0.9647303943241626,1.7963477306928601,14318.5,8889.84472075249,13217.5,5469.8,23646.000000000004,819.0,29156.0,1.0517838615505548,-1.319612896509486,4.5474735088646414e-17,0.500881567870229,-0.48520366608892473,-0.19016801322081262,0.01231566752995158,-0.34138098699044667,0.3777396700172185,-0.8280781543553983,0.8423022888256609,94894.23978157144,89989.72988147638,4904.1738585479225,0.0,0.3360415471337167,18.349620644999206,94.83194002432062,5.168059975679389,0.08450704225352114,0.16901408450704228,618.682181717971,863.8593063888168,0.7161839632245701,0.10536051565782678
2hpu_Math,11.813379078439597,7.358351729212656,17.152658662092623,2.746865881507102,9.794306932879966,10.0,5377.6,2311.433695435597,1328.9354536620656,0.24712426615257094,2315.5363189646678,4866.0,4331.2,6324.0,3498.0,8154.0,2386.1666666666665,601.5741618638738,2272.5,1885.8,2734.4,1679.0,3853.0,1.5843502000328682,0.3577810350715667,1.4230276623839977,1.3893932991026963,1.8963189038287114,1.1200455737170194,2.3692145189795593,15765.875,8867.355385121411,16005.0,7492.000000000001,24686.600000000006,594.0,29228.0,1.6282880713845216,-1.8760012430837913,-3.789561257387201e-17,0.6005162298895137,0.24156520359350342,-0.08483638788390994,-0.025177650272818337,-0.363479633699221,0.40699189989382406,-0.9356490310305363,0.9640699328126149,63584.65784477248,3838.7743922180666,59738.27834584026,0.0,7.605106714154377,0.06425987655677678,6.03798733488649,93.9620126651135,0.12676056338028172,0.16901408450704228,817.2152201527958,437.7702481021943,1.866767382423903,0.10536051565782678
2hpu_Reading,11.401643031465724,7.0688030160226205,17.28110599078341,2.71468889796735,10.212302974760789,9.0,5564.444444444444,1742.757513253063,1337.4296335476338,0.24035276960720256,1763.4721432446843,5326.0,4679.6,6341.6,3472.0,8488.0,2786.1,600.898235976775,2802.0,2176.0,3418.4,1946.0,3692.0,1.677549051108415,0.4005650239846807,1.7406480708091572,1.2446784980511394,1.9803535848899385,1.050675279806458,2.325122914072466,16098.0,8163.057912093389,16105.0,8341.0,23408.0,1419.0,29280.0,1.6322668679606207,-1.1586093328677123,-8.526512829121201e-18,0.5833658933480378,-0.12968517113114197,0.5971488517184054,-0.0829785711548674,-0.43156142879426285,0.34264805251970887,-0.835785455464066,1.1490119285446205,210696.57376481305,108766.77749423693,101926.4350230094,0.0,3.36124756673798,1.0671105829384042,51.62329445488607,48.37670554511394,0.10084033613445378,0.1512605042016807,616.1578277925227,552.5438613811576,1.115129260964647,0.11778303565638337
2hpu_Relax,16.01914392089431,9.85545335085414,19.329896907216494,2.574580196819757,9.474443556362354,15.2,3865.315789473684,884.9693279816115,755.3709825838162,0.19542283832045462,885.3185714605636,3529.0,3312.8,4437.200000000001,3104.0,6088.0,1917.7567567567567,377.401457007844,1769.0,1665.8000000000002,2096.8,1532.0,3171.0,1.5742863458748182,0.5077323705602559,1.426399218426881,1.2808097751334495,1.7201078147240612,0.9847444687791059,3.6708137888887005,37970.25974025974,20917.07325905665,38465.0,16599.600000000002,59527.6,892.0,74333.0,2.885881252523445,-2.849086186657395,-9.947598300641403e-18,0.7221308635842683,2.5582671454212926,0.15346273517617812,-0.008838269844494201,-0.4293608783547504,0.4262480729690996,-1.1242683406492957,1.158708369536391,99325.7053120224,68013.66501315338,31311.39930585734,0.0,0.6409930116751447,2.172169450134739,68.47583284185765,31.524167158142347,0.0703125,0.1640625,312.88390647894965,416.8090337738619,0.7506648875770374,0.020409368503136793
2hpu_Speaking,13.067442403845869,8.39630562552477,16.501650165016503,2.911333919457245,8.105344539491734,10.0,4865.4,1306.676190441483,1245.5646269864924,0.2560045683780352,1349.5171152839985,4500.0,3824.4,6289.6,3636.0,7146.0,2656.3,1165.6508954228104,2066.0,1918.4,3256.0,1600.0,5550.0,1.5939365059227468,0.45069065905845757,1.4328239373972718,1.1924689873475476,1.9769027608297993,1.0967507584192489,2.4314967856641854,16068.227272727272,7620.370779167079,16298.5,8962.0,23393.2,1166.0,28658.0,1.637184322472616,-1.8851168034736159,-4.926429634603361e-17,0.6136001273758529,0.7038405603285893,-0.1741448726783778,-0.023815638325793684,-0.3289675122172133,0.3275625907653092,-0.9706228239566617,1.0937937978803143,114871.52248165102,104030.20145502058,10839.232037676915,0.0,2.088988953518723,9.597561994559582,90.56386742051271,9.43613257948729,0.05,0.15000000000000002,461.9797975380886,707.8822877663582,0.6526223434630821,0.10536051565782678
2hpu_Stroop,13.811100191148748,7.286859363614282,19.5822454308094,3.607362381166511,12.295386067195118,10.0,4701.0,2296.869646462225,1442.899372790771,0.30693456132541397,2296.9109691061167,4450.0,3415.2000000000003,5532.799999999999,3064.0,8234.0,2887.8888888888887,532.0587779652512,2898.0,2407.8,3370.8,2014.0,3697.0,1.5683107229414788,0.5681723011386068,1.5396882611312885,1.0739378289882202,2.0469909292731447,1.004809176553236,2.9085244065345073,13726.47619047619,7802.790878110751,13082.0,6627.0,21380.0,1229.0,27220.0,2.111761933691463,-2.4456213601544237,2.4632148173016805e-17,0.640853048928447,2.474618846535183,-0.15887404067812091,0.015704452571413945,-0.30964212195170504,0.2517344568169847,-0.8581596716107482,1.0957040073319002,367124.90770346957,254094.27783588922,113028.51633754485,0.0,2.113530035451983,2.2480546155013656,69.21234035821034,30.78765964178965,0.10084033613445378,0.1512605042016807,812.0660512574935,671.0739412075999,1.210099217675146,0.10536051565782678
2hpu_Video1,16.501271526072756,9.658725048293626,19.62066710268149,3.3602409501056076,9.961942054387865,15.172413793103448,3849.181818181818,1431.109303593475,1053.9524155363354,0.27381206326963675,1431.8261554863718,3300.0,3171.2,4737.199999999998,3058.0,6212.0,1928.9545454545455,641.7881608353567,1639.5,1567.6,1948.6,1500.0,4400.0,1.817375202929665,0.27065848586317537,1.7775382591983786,1.6168260609868867,1.8812797459977437,1.4723849775854225,3.1326699246372414,42121.75555555556,24466.6735514573,41021.5,17612.4,67380.2,277.0,86137.0,2.2286351643597366,-2.5312809063326065,2.2214669439856007e-17,0.6665480860537334,0.03335339336452714,-0.10603779367948975,0.0016230837342585702,-0.5526932216522384,0.5608678462025171,-0.9289789297778089,0.9238809764043368,66434.01965557643,43088.219742603666,23345.12802249793,0.0,0.6718904748219168,1.8457050096739294,64.85932320460076,35.14067679539923,0.0703125,0.1875,505.97354659505186,532.3084201771138,0.9505270392429644,0.02625074065791555
2hpu_Video2,15.783755285518279,6.8728522336769755,18.975332068311197,3.2857648695403734,12.10247983463422,13.728813559322035,4062.222222222222,1013.7071370782163,1295.4089110831299,0.31889169036510306,1013.7226900428402,3488.0,3294.4,4194.400000000001,3162.0,8730.0,2163.923076923077,1150.9143496527822,1736.5,1632.0,1986.0,1545.0,7000.0,1.294685415488146,0.5200623498340469,1.1141379810340175,1.0738726192893933,1.3266428967718764,0.9583178401558522,3.494903649322933,29044.618181818183,18156.568814309612,25788.0,10286.800000000001,48931.600000000006,727.0,57855.0,2.833141456088325,-2.9423049070335425,-2.50496422098476e-17,0.6661301415659376,5.06657770585411,-0.09181415706556058,0.014523040776017009,-0.3199109430888796,0.33860311683595223,-1.044914910167604,0.8335961794556692,51957.096212679164,39367.28255545731,12588.643080287962,0.0,1.1705769338947971,3.1272061892914347,75.77053449389982,24.229465506100183,0.140625,0.1640625,358.3995953826039,855.2697129004006,0.41904862288083955,0.040431235305964375
2z7d_Baseline,13.80987678610738,9.115770282588878,17.91044776119403,2.6569407615404113,8.79467747860515,11.0,4534.0,1484.640845457244,999.1763881044501,0.2203741482365351,1495.107354005056,4264.0,3796.0,5562.0,3350.0,6582.0,2249.75,617.6282761499833,1978.5,1837.2,2615.4,1545.0,3788.0,1.189398997562328,0.2524909922742509,1.1282995374402929,0.9521667348621151,1.459364562430951,0.8447079650033852,1.5579039999800355,14423.76,8124.709886660569,15018.0,6008.4000000000015,22407.600000000006,860.0,27857.0,0.9593547830313177,-1.0849263796366688,-1.6105635343895605e-17,0.4262501022075864,-0.13117390012578545,-0.1527898490468349,0.011308615850243234,-0.27760110552779277,0.27237032807168204,-0.8123321505030868,0.7599749988701395,116368.78910200854,97965.2156735907,18402.434889193974,0.0,1.1385392238631356,5.323492041323102,84.18595305465485,15.814046945345153,0.13533834586466167,0.1804511278195489,524.8998047246731,479.09845021665427,1.0955990454306561,0.09531017980432521
2z7d_Breathing,9.48836134598047,7.147962830593281,12.77139208173691,1.5700440187737907,5.623429251143628,8.666666666666666,6500.923076923077,1356.459778098857,1085.656161855653,0.1670003088806736,1359.6086495753107,6430.0,5558.0,7510.0,4698.0,8394.0,3212.259259259259,757.7637466569639,3095.0,2733.8,3709.2000000000003,1569.0,5630.0,2.4471451538702818,0.5549192505156515,2.553790402796592,1.9750553153241217,2.8902241709545433,1.38126923777808,3.478750076288803,42978.74545454545,25626.16166216093,40694.0,17423.4,69839.40000000001,1065.0,87796.0,2.342673767006011,-2.0298214830744015,2.021099337273174e-17,0.86130700080589,-0.3395953013669808,0.24256693187567596,-0.04729839578559098,-0.5854529735909606,0.5570023424664783,-1.3652828384017013,1.5605284668278627,84341.24966249973,83052.31615192913,1288.7697532258953,0.0,0.16375734470365336,64.44309850075426,98.47195499157414,1.5280450084258688,0.09375,0.1640625,479.5809537502506,593.203304104082,0.808459680572016,0.037973128205254
2z7d_Counting1,13.148099092510028,7.763975155279503,17.931858936043035,3.671668836472452,10.167883780763532,11.0,4992.363636363636,2696.0925800127857,1573.1834125704404,0.31511795357045025,2703.353325039108,4708.0,3578.0,6916.0,3346.0,7728.0,2525.5454545454545,1040.8313428685365,1941.0,1759.0,3494.0,1557.0,4750.0,0.9083299088819486,0.19705884339451976,0.8895861851119611,0.708641400653732,1.0450199786842571,0.6412492260521625,1.2718747303075268,16672.625,8584.1540973883,17445.0,8093.6,25271.0,835.0,29413.0,1.245552378245793,-2.3407745115849647,-1.6105635343895605e-17,0.42740472085083653,10.09663944448813,-2.31213095504126,0.02900426445637664,-0.1608078076666315,0.2342934261298709,-0.5337815143550665,0.5480540790880655,126815.67814885832,50639.847822027565,76169.95573675042,0.0,5.8745900803368185,0.6648270611715072,39.93370102379769,60.066298976202305,0.08391608391608392,0.16783216783216784,953.2126730168875,612.3591266568989,1.5566236078179116,0.09531017980432521
